,0,1,2
134,"I'd rather the (firing squad) before I'd get a ...

vaccination shot

And become your mindless drone slave",blueblood414,United States
135,@tabbyday Any statements from those who demand a compulsory vaccination - also or especially for children? Any stat… https://t.co/rhK7bJG8i3,DaDiSantini,"Stanford Palo Alto, CA &Geneva"
136,They tried mass vaccination based on lies https://t.co/lNUswFqn5t,insidemadness,Earth
137,"@MissedFieldGoal @sskissie @nytimes Colonizing other planets will require cooperation, compromise, strict law and o… https://t.co/QXCBlkkXHn",j_raasch,"Southwest Wisconsin, USA"
138,"FREE Covid-19 &amp; Flu vaccination event! October 16 &amp; November 6, Noon - 4p.m.

Please see the below flyer for more i… https://t.co/scjltnOWxU",LostInYV,"Yucca Valley, CA"
139,"@MAGARaccoon @alexfmac Right, here on flat earth created by The Lord 6,000 years ago there is a killer virus aided… https://t.co/CPmh7kpHDD",mjoseph0077,"New York, NY"
140,@sean_legg @labayouboy This has been the only vaccination that has been required for adults as compared to all the… https://t.co/7vl1z1Bzl4,jac201315,"Texas, USA"
141,"""I can't believe we have a president who wants to make Americans choose between a vaccination and their job""

Oklahoma Governor Kevin Stitt",stevemcqueen777,"OKC, OK"
142,Sorry @twentyonepilots sold our tickets because @UnitedCenter requires vaccination. Will not succumb to this; hope you still have fans,Mrs_Koppers,
143,@TPostMillennial Biden needs to get off vaccination and get on the border and the economy.,theoratorofdoom,
144,100% vaccination can’t create immunity!,scoj0,"Greeley, CO"
145,"@brucegroover @wyshynski @JayBee2802 I do know that and for the record, I’m not opposed to a vaccination. I am oppo… https://t.co/QyaSzOiPYK",ashleymarie262,A gypsy can not be tied down 
146,Senator María Elena Durazo presenting Leadership in Action Award to St. John's Well Child @Wellchildorg - and thank… https://t.co/ZUR26ie9Ym,Areli_RLE,"Los Angeles, CA"
147,Head Coach @CoachBaldwin23 on campus today for the 70's-themed celebration congratulating #UWM students on surpassi… https://t.co/DsCpPvqmlv,MKE_MBB,"Milwaukee, WI"
148,@AJIsTheReal Are you comparing abortion with vaccination? Come on bro,Ricolaaaaaaa,
149,"@reesetheone1 My brother face time from hospital asking how bad Eagles were going to lose, I knew he was alright, w… https://t.co/lSIhTs7385",Temple91,Georgia
150,@TheOGpianoGeek Not really. I leave to take people to the doctor who need rides. I'm an avid reader. My goal for ne… https://t.co/QqvPagsKzb,pennyw503,"Houston, TX"
151,That’s why I didn’t post ANYTHING about the Wings tonight and Bertuzzi’s 4 goal showing. You all jinxed it with you… https://t.co/xzJTDF8XwO,mpb_313,"Detroit, MI"
152,"Safer, because assuming no one faked their proof of vaccination, none of the people around me are at a high risk fo… https://t.co/gnuBT8nB4E",DAMitsDevon,"New York, NY"
153,@spencerreaves Imma tell my kids that’s a polio vaccination card,SamieFetzer2,KC✈️MEM
154,"COVID-19 Vaccination we are bringing vaccine Awareness to pregnant moms!

See flyer for more information… @ Sacrame… https://t.co/UFt7bqfJ6D",SacBHC,South Sacramento
